               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.035931,              0.0138,           0.0015495,             0.60594,             0.58333,             0.54104,             0.30836,            0.047345,            0.011822,           0.0015413,              0.0034,              0.0034,              0.0034
                  36,            0.033729,            0.014069,           0.0011468,             0.49769,             0.45833,              0.5255,             0.27736,            0.048691,             0.01196,           0.0014309,           0.0032059,           0.0032059,           0.0032059
                  37,            0.032986,            0.013229,           0.0012812,             0.67453,             0.69529,             0.60739,             0.35508,            0.041825,            0.011358,           0.0013834,           0.0030118,           0.0030118,           0.0030118
                  38,            0.031628,            0.013884,           0.0013255,             0.56644,             0.56259,             0.51331,             0.34392,            0.042425,            0.011322,           0.0013443,           0.0028176,           0.0028176,           0.0028176
                  39,            0.029996,            0.013725,           0.0010546,             0.83193,             0.79983,             0.75844,             0.39346,            0.042405,            0.011116,           0.0012875,           0.0026235,           0.0026235,           0.0026235
                  40,            0.032604,            0.013487,           0.0010219,             0.48749,             0.54576,             0.52575,              0.3369,            0.046502,            0.011096,           0.0012619,           0.0024294,           0.0024294,           0.0024294
                  41,            0.030133,            0.013026,           0.0011339,             0.53983,             0.57504,             0.53905,             0.34586,            0.046517,            0.011027,           0.0012474,           0.0022353,           0.0022353,           0.0022353
                  42,            0.029806,            0.011681,           0.0010011,              0.8587,             0.78153,             0.77442,             0.39459,            0.040733,            0.011062,           0.0012056,           0.0020412,           0.0020412,           0.0020412
                  43,            0.028292,            0.013144,           0.0008943,              0.8361,             0.81641,             0.76409,             0.37456,            0.040089,            0.011121,           0.0012014,           0.0018471,           0.0018471,           0.0018471
                  44,            0.027896,            0.014426,          0.00084531,             0.83806,             0.82387,             0.77861,             0.35449,            0.042066,            0.011187,           0.0011616,           0.0016529,           0.0016529,           0.0016529
                  45,            0.027014,            0.013977,          0.00078818,             0.60066,             0.66974,             0.60344,             0.35928,            0.042092,            0.011021,           0.0011923,           0.0014588,           0.0014588,           0.0014588
                  46,            0.028171,            0.012183,           0.0011691,             0.84496,             0.82334,             0.75853,             0.34436,             0.04093,            0.011104,           0.0011904,           0.0012647,           0.0012647,           0.0012647
                  47,            0.028211,            0.013289,          0.00093865,             0.60509,             0.66674,             0.62023,             0.35924,            0.043139,            0.010958,           0.0011858,           0.0010706,           0.0010706,           0.0010706
                  48,            0.026972,            0.012735,           0.0008872,             0.84135,             0.82494,             0.75705,             0.37556,            0.039803,            0.010906,           0.0011887,          0.00087647,          0.00087647,          0.00087647
                  49,            0.024957,            0.012666,          0.00071906,             0.58206,             0.57917,              0.5345,             0.33687,            0.042214,            0.010895,           0.0011515,          0.00068235,          0.00068235,          0.00068235
                  50,            0.026416,            0.012056,          0.00083649,             0.71612,             0.70299,             0.59716,             0.33875,             0.04275,            0.010925,            0.001165,          0.00048824,          0.00048824,          0.00048824
